trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,4,-28.67092889292595,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,0,-46.78784252738089,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,9,-8.900732971625644,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-40.87546935087459,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,11,-2.9669824242224494,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,0,-64.99052679569697,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,6,-22.8287566947293,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,2,-0.1998518328937553,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",30,0,3.884612543445237,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",35,8,-47.92213439176353,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,0,-105.9011338404179,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",35,0,-44.41467819409625,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,11,-78.4900540372402,"{0: 7, 1: 4, 2: 1, 3: 1, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,0,-26.847424713403843,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,-6.939049907293023,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,11,-8.15660424556279,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,16,8.55519781588418,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,10,6.992360446445561,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,10,-89.28509382789781,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-129.37257736537978,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,0,-38.425071592275714,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,8,-1.3853048192245443,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,14,8.483289384515244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,1,-45.76016279911508,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",30,3,8.458456730337678,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,2,-84.12564628210717,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,0,26.29315320063498,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-17.60849741831306,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,1.4683310234738527,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,1,-12.684643493649947,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,17,13.15248925026653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",35,0,-42.232493485522625,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,9,17.53362982306232,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,2,-89.6005023483192,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,0,24.566615181374775,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",35,5,21.566257012860667,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,12,4.147736468553244,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,10,-7.764712238334155,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,0,-37.494906684184585,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,16,-44.649621932249836,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",30,4,-32.34894360808006,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,11,-36.777116987834304,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,6,16.922111837043357,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",30,12,3.5302863048528383,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,3,-65.35747353688231,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,0,-26.187296708884976,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,6,-158.79251518515602,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 4}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",30,0,-35.97072510269122,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,0,-34.29892284845005,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,0,7.672377875052249,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,9,8.358047490628781,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,0,-40.03425552453703,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,0,6.611396529759488,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,0,-58.08562003588463,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,14,9.798116796076723,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,5,8.19464291559975,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
